year,month,week_number,inflation_rate,inflation_mom_change
2019,5,25,5.0,0.5
2019,5,26,5.0,0.5
2019,5,27,5.0,0.5
2019,5,28,5.0,0.5
2019,5,29,5.0,0.5
2019,5,30,5.0,0.5
2019,5,31,5.0,0.5
2019,5,32,5.0,0.5
2019,5,33,5.0,0.5
2019,5,34,5.0,0.5
2019,5,35,5.0,0.5
2019,5,36,5.0,0.5
2019,5,37,5.0,0.5
2019,5,38,5.0,0.5
2019,5,39,5.0,0.5
2019,5,40,5.0,0.5
2019,5,41,5.0,0.5
2019,5,42,5.0,0.5
2019,5,43,5.0,0.5
2019,5,44,5.0,0.5
2019,5,45,5.0,0.5
2019,5,46,5.0,0.5
2019,5,47,5.0,0.5
2019,5,48,5.0,0.5
2019,5,49,5.0,0.5
2019,5,50,5.0,0.5
2019,5,51,5.0,0.5
2019,5,52,5.0,0.5
2019,5,53,5.0,0.5
2019,6,1,3.8,-1.2000000000000002
2019,6,2,3.8,-1.2000000000000002
2019,6,3,3.8,-1.2000000000000002
2019,6,4,3.8,-1.2000000000000002
2019,6,5,3.8,-1.2000000000000002
2019,6,6,3.8,-1.2000000000000002
2019,6,7,3.8,-1.2000000000000002
2019,6,8,3.8,-1.2000000000000002
2019,6,9,3.8,-1.2000000000000002
2019,6,10,3.8,-1.2000000000000002
2019,6,11,3.8,-1.2000000000000002
2019,6,12,3.8,-1.2000000000000002
2019,6,13,3.8,-1.2000000000000002
2019,6,14,3.8,-1.2000000000000002
2019,6,15,3.8,-1.2000000000000002
2019,6,16,3.8,-1.2000000000000002
2019,6,17,3.8,-1.2000000000000002
2019,6,18,3.8,-1.2000000000000002
2019,6,19,3.8,-1.2000000000000002
2019,6,20,3.8,-1.2000000000000002
2019,6,21,3.8,-1.2000000000000002
2019,6,22,3.8,-1.2000000000000002
2019,6,23,3.8,-1.2000000000000002
2019,6,24,3.8,-1.2000000000000002
2019,6,25,3.8,-1.2000000000000002
2019,6,26,3.8,-1.2000000000000002
2019,6,27,3.8,-1.2000000000000002
2019,6,28,3.8,-1.2000000000000002
2019,6,29,3.8,-1.2000000000000002
2019,6,30,3.8,-1.2000000000000002
2019,6,31,3.8,-1.2000000000000002
2019,6,32,3.8,-1.2000000000000002
2019,6,33,3.8,-1.2000000000000002
2019,6,34,3.8,-1.2000000000000002
2019,6,35,3.8,-1.2000000000000002
